0 66,67 e1000 e1001
1 67,68 e1001 e1002	
2 68,69 e1002 e1003	
3 69,70 e1003 e1004	
4 70,71 e1004 e1005	
5 66,72 e1000 e1006
6 72,73 e1006 e1007	
7 73,77 e1007 e1001	
8 73,74 e1007 e1008	
9 74,69 e1008 e1003	
10 74,75 e1008 e1009	
11 76,77 e10010 e10011	
12 77,78 e10011 e10012	
13 76,71 e10010 e10015		
14 81,82 e10015 e10016	
15 79,80 e10013 e10014		
16 79,83 e10013 e10017	
17 83,84 e10017 e10018	
18 84,80 e10018 e10014	
19 73,77 e1007 e10011	
20 82,80 e10016 e10014		
21 83,85 e10017 e10019		
22 84,87 e10018 e10021	
23 87,88 e10021 e10022	
24 88,89 e10022 e10023	
25 88,86 e10022 e10020		
26 86,85 e10020 e10019	
27 71,91 e1005 e10025	
28 91,75 e10025 e1009	
29 75,109 e1009 e10043		
30 109,78 e10043 e10012		
31 78,104  e10012 e10038	
32 104,105 e10038 e10039	
33 105,89 e10039 e10023		
34 89,106 e10023 e10040		
35 90,105 e10024 e10040	
36 91,92 e10025 e10026		
37 92,96 e10026 e10030		
38 96,94 9e10030 e10028		
39 94,93 e10028 e10027		
40 93,109 e10027 e10043		
41 94,95 e10028 e10029		
42 95,97 e10029 e10031	
43 97,96 e10031 e10030		
44 97,99 e10031 e10033		
45 99,98 e10033 e10032	
46 98,101 e10032 e10035	
47 101,100 e10035 e10034	
48 100,102 e10034 e10036	
49 102,107 e10036 e10041	
50 103,98 e10037 e10032	
51 104,100 e10038 e10034	
52 107,103 e10041 e10037	
53 107,108 e10041 e10042	
54 108,106 e10042 e10040	
55 1,2 e1 e2
56 1,3 e1 e3
57 1,5 e1 e5
58 3,4 e3 e4
59 4,5 e4 e5
60 4,6 e4 e6
61 4,7 e4 e7
62 7,8 e7 e8
63 8,9 e8 e9
64 9,10 e9 e10
65 2,13 e2 e13
66 13,14 e13 e14
67 11,14 e11 e14
68 11,12 e11 e12
69 14,15 e14 e15
70 7,12 e7 e12
71 12,15 e12 e15
72 15,16 e15 e16
73 16,17 e16 e17
74 9,17 e9 e17
75 17,18 e17 e18
76 10,18 e10 e18
77 14,19 e14 e19
78 15,20 e15 e20
79 19,20 e19 e20
80 16,21 e16 e21
81 17,22 e17 e22
82 21,22 e21 e22
83 18,23 e18 e23
84 22,23 e22 e23
85 21,27 e21 e27
86 20,27 e20 e27
87 24,27 e24 e27
88 24,25 e24 e25
89 22,25 e22 e25
90 25,26 e25 e26
91 23,26 e23 e26
92 24,28 e24 e28
93 19,29 e19 e29
94 28,31 e28 e31
95 29,30 e29 e30
96 30,31 e30 e31
97 31,32 e31 e32
98 32,33 e32 e33
99 26,33 e26 e33
100 30,34 e30 e34
101 32,36 e32 e36
102 33,37 e33 e37
103 36,37 e36 e37
104 35,36 e35 e36
105 34,35 e34 e35
106 37,38 e37 e38
107 35,39 e35 e39
108 38,39 e38 e39
109 39,40 e39 e40
110 40,41 e40 e41
111 34,41 e34 e41
112 2,42 e2 e42
113 13,43 e13 e43
114 29,45 e29 e45
115 45,46 e45 e46
116 44,45 e44 e45
117 43,47 e43 e47
118 44,47 e44 e47
119 42,43 e42 e43
120 43,48 e43 e48
121 47,49 e47 e49
122 44,50 e44 e50
123 42,56 e42 e56
124 48,49 e48 e49
125 49,50 e49 e50
126 50,51 e50 e51
127 48,53 e48 e53
128 50,58 e50 e58
129 54,56 e54 e56
130 53,54 e53 e54
131 54,55 e54 e55
132 53,59 e53 e59
133 52,58 e52 e58
134 52,57 e52 e57
135 52,59 e52 e59
136 55,64 e55 e64
137 59,62 e59 e62
138 52,61 e52 e61
139 57,60 e57 e60
140 55,62 e55 e62
141 61,62 e61 e62
142 60,61 e60 e61
143 61,65 e61 e65
144 62,63 e62 e63
145 63,64 e63 e64
146 63,65 e63 e65
147 63,71 e63 e1005
148 110,88 南京信息工程大学体育馆 e10022
149 111,90 南京信息工程大学东门 e10024
150 112,22 南京信息工程大学西苑食堂 e22
151 113,72 南京信息工程大学东苑食堂 e1006
152 114,63 南京信息工程大学明德楼 e63
153 115,94 南京信息工程大学文德楼 e10028
154 116,36 南京信息工程大学滨江楼 e36
155 117,35 南京信息工程大学揽江楼 e35
156 118,33 南京信息工程大学阅江楼 e33
157 119,29 南京信息工程大学临江楼 e29
158 120,78 南京信息工程大学气象楼 e10012
159 121,59 南京信息工程大学马克思恩格斯雕像 e59
160 122,58 南京信息工程大学图书馆 e58
161 123,61 南京信息工程大学1960餐厅 e61
162 124,64 南京信息工程大学北辰楼 e64
163 125,62 南京信息工程大学长望楼 e62
164 126,100 南京信息工程大学行政楼 e10034
165 127,107 南京信息工程大学雷丁学院 e10041
166 128,45 南京信息工程大学逸夫楼 e45
167 129,46 南京信息工程大学水云方 e46
168 130,45 南京信息工程大学见山园 e45
169 131,19 天鹅湖 e19
170 132,95 涂长望雕像 e10029
171 133,61 1960街区 e61
172 134,64 水塔公园 e64
173 135,46 南京信息工程大学中苑操场 e46
174 136,28 南京信息工程大学西苑操场 e28
175 137,28 南京信息工程大学西苑篮球场 e28
176 138,17 南京信息工程大学西苑北门 e17
177 139,99 南京信息工程大学西苑南门 e10033
178 140,65 南京信息工程大学亚培楼 e65
179 141,63 南京信息工程大学训练馆 e63
180 142,59 南京信息工程大学蜜雪冰城 e59
181 143,63 南京信息工程大学尚贤楼 e63
182 144,79 南气宾馆 e10013
183 145,17 南京信息工程大学西苑新食堂 e17
184 67,66 e1001 e1000
185 68,67 e1002 e1001
186 69,68 e1003 e1002
187 70,69 e1004 e1003
188 71,70 e1005 e1004
189 72,66 e1006 e1000
190 73,72 e1007 e1006
191 77,73 e1001 e1007
192 74,73 e1008 e1007
193 69,74 e1003 e1008
194 75,74 e1009 e1008
195 77,76 e10011 e10010
196 78,77 e10012 e10011
197 71,76 e10015 e10010
198 82,81 e10016 e10015
199 80,79 e10014 e10013
200 83,79 e10017 e10013
201 84,83 e10018 e10017
202 80,84 e10014 e10018
203 77,73 e10011 e1007
204 80,82 e10014 e10016
205 85,83 e10019 e10017
206 87,84 e10021 e10018
207 88,87 e10022 e10021
208 89,88 e10023 e10022
209 86,88 e10020 e10022
210 85,86 e10019 e10020
211 91,71 e10025 e1005
212 75,91 e1009 e10025
213 109,75 e10043 e1009
214 78,109 e10012 e10043
215 104,78 e10012  e10038
216 105,104 e10039 e10038
217 89,105 e10023 e10039
218 106,89 e10040 e10023
219 105,90 e10040 e10024
220 92,91 e10026 e10025
221 96,92 e10030 e10026
222 94,96 e10028 9e10030
223 93,94 e10027 e10028
224 109,93 e10043 e10027
225 95,94 e10029 e10028
226 97,95 e10031 e10029
227 96,97 e10030 e10031
228 99,97 e10033 e10031
229 98,99 e10032 e10033
230 101,98 e10035 e10032
231 100,101 e10034 e10035
232 102,100 e10036 e10034
233 107,102 e10041 e10036
234 98,103 e10032 e10037
235 100,104 e10034 e10038
236 103,107 e10037 e10041
237 108,107 e10042 e10041
238 106,108 e10040 e10042
239 2,1 e2 e1
240 3,1 e3 e1
241 5,1 e5 e1
242 4,3 e4 e3
243 5,4 e5 e4
244 6,4 e6 e4
245 7,4 e7 e4
246 8,7 e8 e7
247 9,8 e9 e8
248 10,9 e10 e9
249 13,2 e13 e2
250 14,13 e14 e13
251 14,11 e14 e11
252 12,11 e12 e11
253 15,14 e15 e14
254 12,7 e12 e7
255 15,12 e15 e12
256 16,15 e16 e15
257 17,16 e17 e16
258 17,9 e17 e9
259 18,17 e18 e17
260 18,10 e18 e10
261 19,14 e19 e14
262 20,15 e20 e15
263 20,19 e20 e19
264 21,16 e21 e16
265 22,17 e22 e17
266 22,21 e22 e21
267 23,18 e23 e18
268 23,22 e23 e22
269 27,21 e27 e21
270 27,20 e27 e20
271 27,24 e27 e24
272 25,24 e25 e24
273 25,22 e25 e22
274 26,25 e26 e25
275 26,23 e26 e23
276 28,24 e28 e24
277 29,19 e29 e19
278 31,28 e31 e28
279 30,29 e30 e29
280 31,30 e31 e30
281 32,31 e32 e31
282 33,32 e33 e32
283 33,26 e33 e26
284 34,30 e34 e30
285 36,32 e36 e32
286 37,33 e37 e33
287 37,36 e37 e36
288 36,35 e36 e35
289 35,34 e35 e34
290 38,37 e38 e37
291 39,35 e39 e35
292 39,38 e39 e38
293 40,39 e40 e39
294 41,40 e41 e40
295 41,34 e41 e34
296 42,2 e42 e2
297 43,13 e43 e13
298 45,29 e45 e29
299 46,45 e46 e45
300 45,44 e45 e44
301 47,43 e47 e43
302 47,44 e47 e44
303 43,42 e43 e42
304 48,43 e48 e43
305 49,47 e49 e47
306 50,44 e50 e44
307 56,42 e56 e42
308 49,48 e49 e48
309 50,49 e50 e49
310 51,50 e51 e50
311 53,48 e53 e48
312 58,50 e58 e50
313 56,54 e56 e54
314 54,53 e54 e53
315 55,54 e55 e54
316 59,53 e59 e53
317 58,52 e58 e52
318 57,52 e57 e52
319 59,52 e59 e52
320 64,55 e64 e55
321 62,59 e62 e59
322 61,52 e61 e52
323 60,57 e60 e57
324 62,55 e62 e55
325 62,61 e62 e61
326 61,60 e61 e60
327 65,61 e65 e61
328 63,62 e63 e62
329 64,63 e64 e63
330 65,63 e65 e63
331 71,63 e1005 e63
332 88,110 e10022 南京信息工程大学体育馆
333 90,111 e10024 南京信息工程大学东门
334 22,112 e22 南京信息工程大学西苑食堂
335 72,113 e1006 南京信息工程大学东苑食堂
336 63,114 e63 南京信息工程大学明德楼
337 94,115 e10028 南京信息工程大学文德楼
338 36,116 e36 南京信息工程大学滨江楼
339 35,117 e35 南京信息工程大学揽江楼
340 33,118 e33 南京信息工程大学阅江楼
341 29,119 e29 南京信息工程大学临江楼
342 78,120 e10012 南京信息工程大学气象楼
343 59,121 e59 南京信息工程大学马克思恩格斯雕像
344 58,122 e58 南京信息工程大学图书馆
345 61,123 e61 南京信息工程大学1960餐厅
346 64,124 e64 南京信息工程大学北辰楼
347 62,125 e62 南京信息工程大学长望楼
348 100,126 e10034 南京信息工程大学行政楼
349 107,127 e10041 南京信息工程大学雷丁学院
350 45,128 e45 南京信息工程大学逸夫楼
351 46,129 e46 南京信息工程大学水云方
352 45,130 e45 南京信息工程大学见山园
353 19,131 e19 天鹅湖
354 95,132 e10029 涂长望雕像
355 61,133 e61 1960街区
356 64,134 e64 水塔公园
357 46,135 e46 南京信息工程大学中苑操场
358 28,136 e28 南京信息工程大学西苑操场
359 28,137 e28 南京信息工程大学西苑篮球场
360 17,138 e17 南京信息工程大学西苑北门
361 99,139 e10033 南京信息工程大学西苑南门
362 65,140 e65 南京信息工程大学亚培楼
363 63,141 e63 南京信息工程大学训练馆
364 59,142 e59 南京信息工程大学蜜雪冰城
365 63,143 e63 南京信息工程大学尚贤楼
366 79,144 e10013 南气宾馆
367 17,145 e17 南京信息工程大学西苑新食堂
