1 66,67 e1000 e1001
2 67,68 e1001 e1002	
3 68,69 e1002 e1003	
4 69,70 e1003 e1004	
5 70,71 e1004 e1005	
6 66,72 e1000 e1006
7 72,73 e1006 e1007	
8 73,77 e1007 e1001	
9 73,74 e1007 e1008	
10 74,69 e1008 e1003	
11 74,75 e1008 e1009	
12 76,77 e10010 e10011	
13 77,78 e10011 e10012	
14 76,71 e10010 e10015		
15 81,82 e10015 e10016	
16 79,80 e10013 e10014		
17 79,83 e10013 e10017	
18 83,84 e10017 e10018	
19 84,80 e10018 e10014	
20 73,77 e1007 e10011	
21 82,80 e10016 e10014		
22 83,85 e10017 e10019		
23 84,87 e10018 e10021	
24 87,88 e10021 e10022	
25 88,89 e10022 e10023	
26 88,86 e10022 e10020		
27 86,85 e10020 e10019	
28 71,91 e1005 e10025	
29 91,75 e10025 e1009	
30 75,109 e1009 e10043		
31 109,78 e10043 e10012		
32 78,104  e10012 e10038	
33 104,105 e10038 e10039	
34 105,89 e10039 e10023		
35 89,106 e10023 e10040		
36 90,105 e10024 e10040	
37 91,92 e10025 e10026		
38 92,96 e10026 e10030		
39 96,94 9e10030 e10028		
40 94,93 e10028 e10027		
41 93,109 e10027 e10043		
42 94,95 e10028 e10029		
43 95,97 e10029 e10031	
44 97,96 e10031 e10030		
45 97,99 e10031 e10033		
46 99,98 e10033 e10032	
47 98,101 e10032 e10035	
48 101,100 e10035 e10034	
49 100,102 e10034 e10036	
50 102,107 e10036 e10041	
51 103,98 e10037 e10032	
52 104,100 e10038 e10034	
53 107,103 e10041 e10037	
54 107,108 e10041 e10042	
55 108,106 e10042 e10040	
56 1,2 e1 e2
57 1,3 e1 e3
58 1,5 e1 e5
59 3,4 e3 e4
60 4,5 e4 e5
61 4,6 e4 e6
62 4,7 e4 e7
63 7,8 e7 e8
64 8,9 e8 e9
65 9,10 e9 e10
66 2,13 e2 e13
67 13,14 e13 e14
68 11,14 e11 e14
69 11,12 e11 e12
70 14,15 e14 e15
71 7,12 e7 e12
72 12,15 e12 e15
73 15,16 e15 e16
74 16,17 e16 e17
75 9,17 e9 e17
76 17,18 e17 e18
77 10,18 e10 e18
78 14,19 e14 e19
79 15,20 e15 e20
80 19,20 e19 e20
81 16,21 e16 e21
82 17,22 e17 e22
83 21,22 e21 e22
84 18,23 e18 e23
85 22,23 e22 e23
86 21,27 e21 e27
87 20,27 e20 e27
88 24,27 e24 e27
89 24,25 e24 e25
90 22,25 e22 e25
91 25,26 e25 e26
92 23,26 e23 e26
93 24,28 e24 e28
94 19,29 e19 e29
95 28,31 e28 e31
96 29,30 e29 e30
97 30,31 e30 e31
98 31,32 e31 e32
99 32,33 e32 e33
100 26,33 e26 e33
101 30,34 e30 e34
102 32,36 e32 e36
103 33,37 e33 e37
104 36,37 e36 e37
105 35,36 e35 e36
106 34,35 e34 e35
107 37,38 e37 e38
108 35,39 e35 e39
109 38,39 e38 e39
110 39,40 e39 e40
111 40,41 e40 e41
112 34,41 e34 e41
113 2,42 e2 e42
114 13,43 e13 e43
115 29,45 e29 e45
116 45,46 e45 e46
117 44,45 e44 e45
118 43,47 e43 e47
119 44,47 e44 e47
120 42,43 e42 e43
121 43,48 e43 e48
122 47,49 e47 e49
123 44,50 e44 e50
124 42,56 e42 e56
125 48,49 e48 e49
126 49,50 e49 e50
127 50,51 e50 e51
128 48,53 e48 e53
129 50,58 e50 e58
130 54,56 e54 e56
131 53,54 e53 e54
132 54,55 e54 e55
133 53,59 e53 e59
134 52,58 e52 e58
135 52,57 e52 e57
136 52,59 e52 e59
137 55,64 e55 e64
138 59,62 e59 e62
139 52,61 e52 e61
140 57,60 e57 e60
141 55,62 e55 e62
142 61,62 e61 e62
143 60,61 e60 e61
144 61,65 e61 e65
145 62,63 e62 e63
146 63,64 e63 e64
147 63,65 e63 e65
148 63,71 e63 e1005
